procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 51595168 507892 5713556    0    0    15     7   81   33  2  1 96  0  0
 5  0      0 51485512 507900 5714744    0    0     0    72 3883 7853 53  7 40  0  0
 4  0      0 51431888 507924 5715916    0    0     0   136 4371 5719 37  6 57  0  0
 2  0      0 51377844 507924 5716680    0    0     0     4 3255 3479 25  3 72  0  0
 0  0      0 51355932 507924 5717248    0    0     0    32 2607 2744 12  1 87  0  0
 4  0      0 51282560 507932 5717240    0    0     0   300 3421 4311  7  4 89  0  0
 4  0      0 49572384 507932 5717772    0    0     0     0 7418 9526 36 16 48  0  0
 1  0      0 49545184 507952 5718080    0    0     0   212 8283 10467 34  9 57  0  0
 2  0      0 49521468 507952 5718276    0    0     0     4 8461 10520 35  7 58  0  0
 6  0      0 49514172 507952 5718456    0    0     0    20 6260 6197 35  4 61  0  0
 4  2      0 50328692 507956 5718660    0    0     0   500 7905 9490 46  8 46  0  0
 3  0      0 50770704 508024 5712876    0    0     0  1388 10436 14010 31  9 58  3  0
 4  0      0 50770452 508036 5712900    0    0     0   100 4768 5137 31  2 66  0  0
 5  1      0 53140152 508044 5712284    0    0     0   312 10255 16613 30 11 59  1  0
 0  0      0 53157784 508120 5702928    0    0     0   788 5849 8698  4  6 89  1  0
 0  0      0 53157888 508120 5702932    0    0     0    92 2469 3199  3  2 96  0  0
 1  0      0 53157636 508120 5702920    0    0     0     0 4343 6105  5  4 91  0  0
 0  0      0 53157636 508132 5702912    0    0     0   144 2319 2944  2  1 97  0  0
 0  0      0 53157480 508132 5702924    0    0     0    28 4814 7239  4  5 91  0  0
 0  0      0 53158236 508140 5702928    0    0     0    64 2876 3411  4  4 92  0  0
