procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 51870432 509480 5718052    0    0    14     7   82   36  2  2 96  0  0
 2  0      0 51870036 509504 5718072    0    0     0   156 2946 3703  3  3 94  0  0
 0  0      0 51869952 509512 5718072    0    0     0   132 3072 3581  2  5 93  0  0
 1  0      0 51869700 509512 5718076    0    0     0     0 3022 3478  3  4 93  0  0
 0  0      0 51870960 509512 5718080    0    0     0    24 2476 2912  2  2 96  0  0
 4  0      0 51775980 509512 5718084    0    0     0     4 3623 4838  7  5 88  0  0
 4  0      0 49658164 509512 5718556    0    0     0    32 6416 14788 46 19 35  0  0
 5  0      0 49605816 509520 5718872    0    0     0   128 5820 6614 45  6 49  0  0
 5  0      0 49553076 509532 5719048    0    0     0   136 5758 6633 46  5 49  0  0
 8  0      0 50661672 509532 5719252    0    0     0    20 4701 6413 58  5 37  0  0
 2  0      0 52236684 509624 5710676    0    0     0  1180 9781 15721 31 12 55  2  0
 4  0      0 52032960 509652 5707608    0    0     0   412 6367 9174 13  7 80  1  0
 2  0      0 52031828 509652 5707616    0    0     0   120 3631 4307 14  3 83  0  0
 2  0      0 52715908 509680 5704244    0    0     0   376 8768 13776 11  9 79  1  0
 0  0      0 52716056 509692 5703920    0    0     0   184 2990 3679  4  2 94  0  0
 1  0      0 52716308 509692 5703924    0    0     0    12 2805 3591  6  2 92  0  0
 0  0      0 52711908 509692 5703928    0    0     0    32 3264 4260  4  3 92  0  0
